sale_id,date,product_id,store_id,quantity,price
427,2024-01-27,8,7,4,43.11
1049,2023-05-29,10,3,3,496.57
735,2023-06-18,15,7,1,193.6
1349,2023-10-25,15,7,2,206.1
1391,2023-03-03,9,6,4,336.71
843,2024-06-03,10,7,5,504.09
547,2024-11-26,14,3,4,82.31
1426,2024-03-15,10,3,1,542.77
469,2024-04-15,9,4,3,355.42
154,2023-06-19,13,5,4,961.47
1009,2024-08-05,15,2,3,204.83
899,2024-06-09,15,5,4,208.27
1439,2024-07-26,1,3,2,28999.93
1178,2024-02-27,13,4,4,1021.58
1111,2023-11-06,5,5,1,9602.62
9869,,4,8,2,100.0
1310,2023-11-06,14,5,4,79.47
981,2023-01-01,13,7,2,1037.25
435,2023-02-19,6,1,2,3965.65
221,2024-07-21,5,4,1,9818.73
1195,2023-09-17,7,2,4,92.76
448,2024-08-24,11,4,4,290.3
1405,2023-04-20,5,5,2,9898.47
286,2023-01-19,7,3,2,87.59
506,2024-06-02,15,7,5,189.78
728,2024-10-10,8,7,4,44.47
946,2023-08-21,13,8,3,985.59
324,2023-03-22,8,3,5,44.07
934,2024-09-11,10,5,4,533.58
32,2023-06-19,7,7,2,92.82
95,2023-08-13,5,8,1,10047.35
1217,2024-10-31,10,8,5,500.78
441,2024-03-02,8,5,4,43.58
739,2024-11-08,4,1,1,9160.59
865,2024-09-13,15,8,2,193.42
290,2024-12-10,13,3,4,953.41
756,2023-10-06,14,8,4,80.18
528,2023-07-07,7,3,5,88.01
255,2024-09-05,2,4,2,57438.84
801,2024-09-09,5,4,2,9938.87
732,2023-11-10,5,1,2,10438.01
689,2024-01-17,1,5,2,29331.26
170,2023-10-26,9,5,4,360.68
1494,2024-10-23,7,7,1,85.99
591,2024-08-13,10,8,4,519.56
909,2023-05-03,15,8,5,189.18
1242,2024-03-31,9,6,4,338.49
545,2023-10-15,10,3,3,543.86
9373,,6,3,1,100.0
660,2024-07-14,15,2,3,200.87
1400,2023-03-07,14,7,3,80.36
1076,2023-06-03,5,3,1,10258.89
1230,2023-04-02,11,5,4,304.79
831,2024-09-23,14,4,1,76.48
16,2023-02-27,6,1,2,3950.56
818,2023-06-07,1,6,1,28752.98
1381,2023-07-26,8,2,5,43.71
1352,2024-11-05,11,2,2,295.85
1157,2024-12-13,10,7,5,502.38
1096,2023-01-25,8,2,2,46.35
542,2023-05-01,13,4,2,1030.04
136,2024-07-02,15,3,2,193.36
1158,2024-06-05,8,8,4,44.35
137,2024-05-10,7,5,1,91.96
177,2024-02-25,1,8,2,29648.35
1213,2023-01-26,11,4,4,295.67
1365,2023-05-02,8,6,4,44.74
609,2024-01-17,8,2,5,43.18
798,2024-12-02,7,1,1,91.17
1370,2024-01-22,10,6,3,509.68
1396,2024-07-27,15,7,1,193.07
706,2023-11-06,11,7,5,287.11
1235,2024-07-25,6,2,1,4037.45
554,2024-12-15,7,2,5,88.09
882,2024-07-22,8,5,5,44.3
1259,2023-10-30,6,2,1,3981.93
745,2023-07-24,13,4,3,1019.32
1414,2024-10-21,8,1,3,46.65
19,2023-09-10,12,5,5,64524.89
294,2024-08-07,15,8,3,204.53
1283,2023-05-16,14,5,2,81.29
1054,2024-09-19,6,4,1,4064.76
73,2023-12-07,13,7,2,975.7
117,2024-11-16,4,4,2,9169.32
386,2024-11-28,10,5,5,518.18
323,2024-01-12,15,5,1,203.52
748,2023-04-24,14,8,2,82.55
519,2023-06-13,7,7,4,86.61
691,2024-03-29,13,6,3,1021.86
1455,2023-04-19,14,3,1,75.69
589,2023-10-03,11,2,1,294.07
1204,2024-11-11,8,3,3,46.82
499,2023-11-23,7,8,5,91.51
77,2023-10-13,7,7,5,87.5
790,2024-12-11,10,2,3,522.23
1335,2023-09-17,1,5,1,30753.4
223,2023-05-29,15,5,2,191.24
833,2024-11-18,3,2,1,25553.75
180,2024-03-26,4,8,1,9189.98
881,2024-02-28,9,8,2,344.47
959,2023-06-04,1,4,2,29750.81
157,2024-09-10,6,2,1,4174.3
449,2023-12-07,7,1,2,92.89
915,2024-12-16,9,6,1,331.96
644,2024-01-09,15,6,4,200.71
1227,2023-06-22,11,3,4,291.33
797,2024-12-13,7,1,4,88.0
1050,2024-06-29,15,2,2,195.37
102,2024-07-07,3,3,1,24697.71
1253,2024-04-18,7,7,2,86.76
1245,2023-08-14,3,8,1,25965.83
1162,2024-01-13,4,8,1,8668.24
420,2024-06-06,8,1,4,43.34
1170,2024-10-06,8,3,5,42.98
945,2024-10-17,10,5,3,518.05
115,2023-03-12,13,1,1,1043.92
509,2024-10-22,11,7,3,312.92
836,2024-04-06,7,5,5,85.91
264,2023-11-14,12,4,3,66803.99
903,2024-02-27,15,1,3,193.99
407,2024-10-16,14,7,5,77.64
1437,2024-09-12,15,1,1,194.1
819,2023-02-25,5,5,1,10064.89
1120,2023-10-21,7,6,4,90.52
1421,2024-12-03,8,6,4,44.9
941,2023-10-18,8,3,2,45.12
968,2023-07-23,7,1,2,93.21
80,2023-11-18,8,2,4,46.8
327,2023-12-28,10,7,3,526.24
186,2024-03-20,15,2,4,192.36
781,2024-08-26,15,3,4,189.14
8788,2024-06-15,999,1,1,100.0
1097,2024-02-29,8,6,3,45.27
8518,2024-06-15,999,3,1,100.0
780,2024-10-10,14,2,4,78.66
628,2024-09-26,10,5,4,514.43
266,2023-12-24,7,3,2,85.46
848,2024-08-02,15,3,4,207.74
588,2023-12-22,9,5,2,344.53
390,2024-11-23,9,7,3,364.87
688,2023-12-06,11,1,4,311.58
37,2023-02-02,14,2,5,76.93
949,2024-05-18,15,8,3,189.23
1261,2024-04-19,13,7,2,1027.96
985,2024-02-24,10,2,1,520.2
955,2023-07-06,4,2,2,9095.84
9052,,15,8,2,100.0
1489,2024-12-31,8,7,4,46.07
1163,2024-06-23,15,5,4,199.34
315,2024-07-13,7,3,4,93.28
1379,2024-05-15,4,4,2,8987.06
892,2023-02-06,7,1,2,85.32
403,2024-10-18,9,8,2,361.25
1056,2024-09-11,8,6,2,46.58
724,2023-07-04,13,8,3,1012.09
704,2023-01-09,6,5,2,3959.6
156,2024-05-20,8,1,4,46.06
1019,2023-02-20,9,5,1,345.46
1151,2024-12-20,9,6,4,345.72
800,2024-12-22,11,6,5,300.39
755,2023-12-17,5,7,2,10451.85
1231,2024-05-02,11,4,2,303.18
483,2024-07-20,15,7,2,202.58
1409,2024-09-12,1,1,1,29249.2
1184,2024-06-26,11,1,1,311.49
1459,2024-10-21,7,1,1,89.42
1321,2024-10-05,5,2,1,10033.67
300,2024-02-10,8,4,4,47.23
455,2024-02-28,2,4,1,52329.69
297,2024-07-21,15,2,3,190.72
444,2024-03-02,9,3,4,340.03
188,2023-10-28,7,7,2,86.72
217,2024-10-22,7,7,3,86.24
496,2024-02-10,7,7,3,88.47
279,2023-12-13,11,1,3,286.02
749,2024-06-07,3,2,2,25350.7
924,2023-11-20,13,5,3,1005.21
209,2023-08-28,8,6,5,43.75
901,2024-04-14,11,1,4,287.53
494,2024-01-05,6,4,2,4027.43
373,2023-05-21,11,8,5,297.71
534,2024-03-01,11,8,4,289.05
277,2023-02-10,6,8,2,3999.6
1340,2023-04-12,14,1,5,76.76
1079,2023-09-17,1,8,2,30120.46
165,2023-02-25,5,6,2,10115.28
82,2024-07-05,11,4,3,296.95
308,2023-01-17,10,4,2,508.17
816,2024-10-06,13,7,1,969.59
169,2023-04-27,8,2,2,44.99
1175,2023-06-29,6,4,2,3862.64
1492,2024-06-24,1,6,1,29293.78
425,2024-04-28,1,7,1,30796.65
1125,2023-01-30,8,1,1,44.48
574,2024-11-05,14,4,5,79.84
665,2023-02-20,8,8,2,43.0
1234,2024-10-04,14,5,3,78.36
152,2024-10-02,9,4,4,335.56
8382,2024-06-15,999,7,1,100.0
634,2024-04-28,9,4,2,335.04
553,2023-12-02,9,2,4,353.71
605,2023-12-21,10,1,3,493.13
687,2024-02-17,4,7,1,8896.32
1408,2023-05-29,7,6,3,84.74
962,2023-07-05,5,5,2,10317.92
714,2024-08-08,14,6,2,80.47
1116,2024-04-15,8,2,1,44.15
558,2024-04-15,1,3,2,29859.6
1255,2024-03-03,15,1,4,203.65
1322,2023-11-20,14,5,3,80.47
497,2024-03-16,14,3,3,77.58
1185,2024-10-14,7,7,5,92.72
1223,2024-09-22,6,4,2,3925.1
262,2024-09-24,8,6,1,44.72
431,2024-01-24,14,4,4,77.78
230,2023-04-21,8,8,1,46.8
543,2024-08-25,11,7,2,302.47
1109,2023-11-12,11,6,1,292.17
305,2023-06-03,9,7,1,358.64
1298,2023-10-12,5,2,2,10166.89
620,2024-02-19,14,4,1,78.7
1403,2023-09-01,10,6,3,536.25
171,2024-04-28,6,3,2,3866.55
69,2024-01-09,14,1,3,76.71
1136,2023-03-14,13,8,4,1008.04
1475,2024-02-07,2,7,2,53966.89
880,2024-03-09,9,5,4,357.9
423,2023-08-12,9,1,4,343.57
1083,2023-06-01,2,6,1,53039.91
679,2023-05-10,1,2,2,29096.06
717,2023-05-12,12,3,3,65993.67
830,2024-10-23,14,3,2,76.5
1105,2023-11-20,9,1,2,351.7
155,2024-12-06,7,7,3,89.0
1001,2023-11-28,10,4,4,532.79
1051,2023-05-30,11,6,4,312.79
413,2024-12-21,13,2,3,985.77
1216,2023-12-12,13,1,4,960.86
1149,2023-03-05,7,1,1,90.81
1442,2023-02-15,15,8,3,203.93
34,2024-10-27,7,8,1,86.76
682,2024-06-16,8,1,5,45.39
1021,2023-07-22,8,4,5,45.52
1275,2024-04-13,3,7,1,24461.14
381,2023-09-06,1,2,1,28547.29
1384,2023-03-10,9,8,4,338.87
162,2024-12-11,8,7,5,42.92
649,2023-01-02,15,7,5,189.69
716,2023-06-24,14,3,3,75.82
89,2024-11-22,5,8,1,10148.69
333,2023-03-20,9,6,4,342.52
796,2024-04-08,4,4,2,8754.1
747,2024-05-07,7,1,1,90.53
110,2024-06-30,1,7,1,28742.26
9694,,3,3,3,100.0
1260,2023-11-09,5,8,1,10465.94
220,2023-09-07,15,4,1,205.56
9874,,12,2,3,100.0
278,2024-09-16,5,6,2,9877.53
1328,2023-11-16,11,3,4,310.65
1290,2023-06-01,7,3,5,87.23
1373,2023-12-20,15,7,3,190.17
1415,2024-05-18,8,7,3,45.98
288,2023-04-14,9,1,3,362.14
166,2023-02-22,5,3,2,9928.18
777,2023-06-18,8,7,1,43.89
877,2023-01-08,9,2,5,331.8
1306,2024-06-21,15,2,5,204.1
492,2023-10-03,7,8,2,85.11
1222,2024-08-28,2,2,1,54974.29
489,2023-12-29,9,6,4,331.98
1274,2024-11-20,15,2,2,206.8
341,2023-07-25,13,4,4,951.68
1026,2024-09-23,14,8,5,76.2
113,2024-01-24,7,7,3,91.98
696,2023-07-25,14,4,1,78.66
1183,2023-01-13,7,8,4,90.59
1086,2024-09-17,10,3,4,531.94
1468,2024-12-31,5,8,1,9780.91
730,2024-06-27,5,1,1,9716.54
1420,2023-03-26,4,4,1,9301.92
1004,2023-05-19,15,5,1,195.03
683,2024-03-05,4,3,1,9049.87
1033,2024-11-10,9,5,2,333.65
103,2023-06-06,11,2,4,296.24
1024,2024-03-09,7,4,3,87.62
561,2024-11-11,14,3,1,78.18
1210,2023-06-30,9,7,2,341.98
791,2024-08-19,9,7,5,341.53
1404,2024-02-04,13,4,4,970.83
374,2024-09-12,14,3,3,82.41
1167,2024-04-25,8,8,5,46.05
590,2024-03-15,7,2,3,90.89
943,2024-04-23,15,5,5,197.9
1487,2024-04-05,9,4,3,351.42
584,2024-02-05,9,2,3,355.93
354,2024-03-02,10,1,4,539.19
1385,2023-03-20,10,5,5,534.78
53,2023-08-29,8,4,5,45.43
738,2023-09-19,13,1,5,1048.42
821,2024-02-19,8,1,4,45.78
832,2024-08-03,14,8,5,75.63
329,2024-11-26,5,1,1,10338.32
638,2024-12-18,7,3,5,92.99
1342,2023-04-12,15,8,3,202.94
25,2023-06-11,8,5,5,46.18
357,2023-06-11,8,8,4,43.67
1441,2024-12-28,9,3,3,335.63
722,2023-06-04,4,4,2,8908.36
273,2023-04-03,10,7,4,523.17
434,2023-04-14,10,8,5,527.93
1448,2024-12-23,8,2,4,42.93
980,2024-04-05,7,5,5,87.82
937,2024-12-18,12,4,2,64320.9
538,2024-07-10,14,6,5,81.55
670,2024-01-26,7,8,1,86.89
1351,2024-11-21,8,2,4,44.72
79,2023-09-29,1,7,2,30675.41
140,2024-12-15,15,8,1,206.42
811,2024-04-01,6,4,1,4062.84
424,2023-03-07,9,1,1,365.97
418,2024-06-01,5,3,1,9818.29
669,2024-11-07,7,7,2,87.85
9161,,12,5,3,100.0
498,2024-12-12,5,6,1,10454.11
380,2024-06-20,10,7,2,535.69
1127,2024-10-06,14,8,5,77.86
1318,2023-05-30,7,3,3,86.0
1249,2023-05-20,4,8,2,8916.48
91,2023-08-29,11,4,2,288.46
1495,2023-07-16,8,8,2,45.03
311,2024-07-11,9,1,4,362.03
742,2023-04-14,10,5,5,524.48
760,2023-04-26,14,8,1,75.55
1346,2024-01-05,11,1,1,293.86
1236,2024-07-06,9,8,2,341.2
1343,2023-07-09,8,2,2,46.51
1190,2024-06-21,4,8,2,8737.76
863,2023-07-04,9,7,5,365.38
366,2024-09-03,14,8,3,79.29
1209,2023-12-15,3,8,2,25359.33
516,2024-12-14,8,2,3,42.95
281,2024-11-03,15,3,3,190.67
1206,2023-03-13,9,1,4,364.85
464,2024-06-28,9,1,1,350.03
502,2024-04-17,15,4,4,204.92
1181,2024-05-02,12,4,4,66182.63
238,2023-03-29,3,2,2,25769.11
876,2024-07-10,8,4,1,45.94
879,2023-06-08,8,5,3,46.6
1041,2023-01-19,7,6,3,90.11
932,2023-12-12,8,7,1,43.11
597,2024-03-02,15,6,3,205.49
550,2024-08-14,10,7,4,516.51
1031,2023-12-06,5,4,1,10036.38
6,2023-12-15,7,4,3,85.46
1100,2023-12-08,7,1,2,86.28
1244,2023-04-11,6,7,1,3940.34
1331,2024-12-11,4,4,2,8653.18
205,2023-12-13,13,8,1,963.11
778,2023-07-20,5,7,1,9947.09
1176,2024-06-24,14,6,1,82.69
979,2024-04-24,7,3,1,89.28
1166,2023-11-16,10,6,5,533.46
604,2023-09-09,4,7,1,8749.96
346,2024-07-18,10,3,2,515.5
1323,2024-12-05,7,6,2,84.66
1451,2023-07-04,14,5,5,82.09
990,2023-03-14,1,4,2,31274.78
14,2024-06-30,11,3,4,295.4
237,2023-06-06,11,8,1,286.78
475,2023-03-18,11,5,5,300.9
260,2024-08-12,8,7,4,44.05
893,2023-10-10,13,6,4,989.55
1089,2024-04-27,4,5,2,9014.32
663,2023-12-06,5,4,2,10187.0
595,2024-01-08,8,3,2,46.94
579,2023-06-26,13,2,1,1007.73
851,2024-04-10,14,1,3,75.87
400,2023-06-30,15,1,4,204.73
1067,2023-11-08,13,5,4,965.68
1463,2024-03-18,11,5,5,287.98
972,2023-04-02,6,8,1,4064.19
701,2024-01-31,2,4,1,55800.44
651,2024-05-23,4,2,1,8852.28
826,2024-02-05,13,5,2,978.83
997,2024-03-13,14,3,2,79.39
1256,2024-05-31,1,7,2,30918.84
857,2023-03-20,9,5,2,336.79
1013,2023-05-04,14,4,5,82.39
517,2024-12-28,4,6,1,9149.25
1499,2023-06-15,10,5,1,527.67
1248,2023-07-27,7,1,5,85.08
1497,2024-11-03,8,5,4,47.07
1484,2024-10-27,6,4,1,3910.57
995,2024-06-22,10,3,5,531.93
1155,2023-05-28,11,8,4,313.2
897,2024-08-11,1,3,2,30008.71
276,2023-12-18,15,2,5,201.91
1357,2024-02-19,15,5,2,204.33
719,2023-12-06,7,5,4,92.13
788,2024-12-29,12,4,2,63103.42
658,2023-02-04,7,6,3,93.02
446,2023-04-05,9,4,1,340.92
1099,2023-03-11,7,6,1,85.56
1440,2024-05-19,15,8,2,190.83
1296,2024-09-24,14,8,3,75.78
617,2024-12-03,7,1,2,91.99
813,2023-10-17,1,6,2,29950.43
49,2024-07-23,10,8,2,502.91
9033,,13,2,2,100.0
358,2024-09-13,4,6,2,9417.36
1153,2024-07-22,8,6,4,43.44
646,2024-03-23,13,8,3,966.45
1273,2023-05-06,8,5,4,45.54
766,2023-03-18,12,6,2,63890.99
1240,2024-04-09,1,1,1,28964.48
222,2023-06-01,13,1,3,1034.8
376,2024-06-05,9,5,4,360.02
894,2023-07-25,9,2,1,350.73
607,2023-09-01,8,1,2,45.95
1320,2024-06-26,10,2,5,503.11
999,2024-03-29,15,6,5,208.78
841,2024-10-23,10,5,2,539.31
1364,2024-07-07,9,1,4,362.27
858,2023-06-11,7,2,2,88.24
1211,2024-02-04,14,6,4,75.72
1263,2024-12-08,7,1,3,88.34
703,2024-11-29,1,3,1,30293.32
898,2024-07-26,3,5,2,26107.09
627,2023-07-11,7,8,2,84.86
1490,2024-09-02,11,5,1,298.63
365,2023-08-09,9,1,1,341.37
1047,2024-07-09,4,3,1,9315.97
359,2023-05-14,13,2,3,973.2
178,2024-11-10,13,3,4,1045.44
1330,2023-01-30,12,2,2,62577.02
471,2024-01-22,9,1,1,356.08
452,2024-01-25,8,6,3,43.93
1152,2024-03-21,9,3,4,336.4
769,2024-05-25,8,2,4,46.1
47,2024-02-15,14,3,4,75.07
752,2024-11-24,7,2,1,92.13
1098,2024-10-14,5,4,2,9744.66
474,2024-12-09,14,8,3,75.42
472,2023-03-26,8,7,3,45.3
1428,2024-03-21,13,8,4,960.89
571,2023-05-07,9,7,3,365.17
1112,2023-02-08,13,2,4,999.6
409,2023-09-12,1,7,1,29830.26
1154,2024-11-17,4,1,1,9123.4
457,2023-12-04,6,4,2,4010.21
147,2023-03-03,10,2,2,525.51
8,2024-04-15,9,7,1,350.82
1359,2023-05-18,1,1,1,29984.41
283,2024-12-16,10,3,5,529.84
470,2023-03-24,10,1,1,514.08
515,2024-06-17,8,8,1,44.72
1473,2024-08-05,13,6,3,1007.55
690,2024-05-18,14,2,2,76.11
163,2023-04-01,7,6,1,93.18
878,2024-11-01,5,6,2,9852.41
678,2024-04-04,5,3,1,10298.15
318,2023-02-12,7,5,5,88.09
556,2023-10-18,7,3,5,92.14
768,2023-08-29,3,8,2,23960.46
212,2023-04-29,3,3,2,24874.16
1043,2024-02-01,14,1,5,82.55
991,2023-03-23,8,1,3,45.26
490,2024-02-28,8,2,5,46.82
1017,2024-08-12,8,4,4,44.05
133,2024-08-18,7,6,4,93.42
785,2024-09-15,15,4,3,196.97
699,2024-05-15,10,3,4,523.51
578,2023-05-16,8,7,3,45.21
964,2024-03-29,6,1,1,3974.37
335,2024-05-26,9,2,3,358.6
567,2023-11-03,4,3,1,8602.0
12,2024-01-09,5,6,1,10160.0
888,2023-03-23,10,7,4,524.91
890,2024-03-25,1,5,1,28591.29
883,2024-12-23,8,3,1,46.12
849,2023-02-11,5,8,1,9553.3
559,2024-03-14,5,3,2,9649.32
537,2024-05-22,9,2,5,335.54
891,2024-09-05,9,4,5,337.46
963,2023-05-05,15,4,4,204.4
1483,2023-07-12,14,4,4,80.17
870,2023-07-01,8,1,5,45.01
1087,2024-01-04,15,2,3,195.47
72,2023-07-01,14,1,2,80.87
960,2024-05-25,15,8,1,195.62
192,2023-01-10,14,8,3,80.4
28,2024-06-27,15,6,4,189.44
1053,2023-04-20,4,1,2,9084.94
1132,2024-12-17,15,6,3,198.07
1288,2023-02-12,15,3,4,194.23
1061,2023-09-10,8,1,5,46.06
776,2023-10-26,9,6,1,333.15
96,2023-05-05,8,8,5,47.2
312,2023-02-14,10,6,3,531.84
707,2024-06-07,15,6,5,201.93
852,2024-06-17,10,5,3,523.08
112,2024-01-24,7,8,3,87.55
487,2024-03-31,7,5,1,85.73
612,2023-11-19,15,7,3,195.38
1102,2024-10-23,4,3,2,9342.46
548,2023-10-11,14,3,2,77.02
66,2023-09-26,5,8,2,10050.85
1472,2024-06-06,8,2,4,45.72
210,2023-03-06,10,8,3,526.75
969,2023-08-30,10,6,1,501.74
401,2023-07-10,15,5,1,189.23
1169,2024-12-12,15,5,5,194.23
339,2024-07-17,9,5,2,356.39
158,2024-08-12,9,1,3,351.66
1338,2023-10-12,15,6,3,192.25
1128,2023-12-07,14,2,4,79.54
1460,2024-09-08,8,7,3,43.55
24,2024-07-03,12,6,1,63647.96
1371,2023-01-29,9,3,3,343.73
917,2023-09-23,5,5,1,9759.64
551,2024-10-10,13,2,4,1000.56
966,2023-11-16,15,3,1,203.87
1138,2023-12-15,5,7,2,10057.14
430,2023-01-24,15,8,5,197.49
231,2023-11-26,10,2,2,507.32
1221,2023-11-11,14,2,4,79.88
921,2023-04-13,11,4,5,296.97
1369,2023-06-10,9,7,3,348.81
10,2023-03-13,2,4,2,57658.23
782,2023-02-19,9,7,5,348.4
132,2023-04-06,7,7,2,87.28
592,2023-02-26,8,3,3,43.46
9892,,2,3,3,100.0
1453,2023-03-20,6,8,1,4144.56
808,2024-02-18,3,4,1,25398.17
572,2023-11-19,13,4,3,1013.45
461,2023-03-18,15,1,1,197.26
1005,2023-08-16,5,6,1,10261.25
1444,2023-09-28,9,7,2,342.56
428,2024-11-08,14,3,3,75.99
1118,2023-02-17,4,5,1,9059.73
193,2023-06-11,3,6,2,25337.21
1367,2023-05-18,7,7,4,91.35
998,2024-05-31,7,3,5,93.44
1018,2024-02-08,4,6,1,8968.29
473,2023-04-08,14,1,2,76.72
1091,2024-10-06,9,2,4,356.82
566,2023-08-23,8,2,1,44.16
754,2024-03-24,15,5,1,196.47
1215,2024-04-05,15,1,1,195.8
904,2023-04-06,8,6,1,45.25
1416,2023-04-13,14,5,5,75.57
1401,2023-04-03,8,3,2,43.25
233,2024-06-27,7,7,1,91.61
1397,2023-10-07,4,5,2,9132.64
408,2024-02-15,10,3,2,517.83
750,2024-04-12,15,5,3,198.29
1443,2024-03-16,7,5,5,91.93
1424,2024-08-07,6,1,1,4152.33
935,2024-01-07,12,8,4,62827.9
1347,2023-04-29,8,8,5,46.06
416,2023-08-12,13,2,5,993.68
414,2023-08-15,5,3,2,9643.53
355,2024-07-12,7,5,4,86.73
289,2024-09-24,4,7,1,8686.36
1372,2024-08-20,1,6,2,28782.45
9986,,14,2,1,100.0
268,2024-10-05,8,8,5,45.64
557,2023-12-18,14,1,1,75.84
142,2023-02-22,6,8,1,4118.52
619,2023-02-20,11,5,2,284.98
196,2024-01-03,9,5,1,365.68
282,2024-11-10,4,6,2,9410.46
9441,,2,4,1,100.0
257,2024-05-24,12,3,2,64211.47
338,2024-03-31,15,6,3,203.17
202,2023-05-15,3,5,2,25608.45
1014,2024-10-11,13,7,1,979.5
873,2024-12-15,9,4,4,359.11
1198,2023-03-03,6,5,1,3966.29
40,2024-11-05,8,7,4,44.85
1147,2024-11-26,7,7,3,93.36
74,2024-12-19,4,1,2,8740.47
1447,2023-02-25,6,1,2,3894.33
101,2024-12-31,7,5,3,87.4
234,2023-04-28,14,4,4,78.62
1308,2024-04-18,11,3,2,289.61
81,2023-07-14,6,7,1,3997.95
1189,2024-11-19,1,2,1,29723.84
905,2023-07-02,8,6,2,46.77
1315,2024-08-18,8,7,3,45.58
751,2023-04-13,13,1,3,985.04
85,2023-10-30,9,4,4,354.76
368,2024-01-10,2,1,1,54234.02
78,2023-01-29,4,5,1,9062.45
1360,2023-01-28,15,7,5,202.57
1309,2024-01-26,7,8,1,91.87
240,2024-11-12,15,7,1,208.32
1028,2023-06-09,12,2,1,66547.04
725,2023-07-01,7,1,1,88.57
26,2024-06-03,15,5,5,201.17
392,2024-03-28,10,8,2,503.54
280,2023-04-07,9,7,3,340.34
325,2023-04-16,3,5,2,24854.84
510,2024-03-16,4,2,2,8740.08
377,2024-01-13,7,2,4,89.74
419,2024-06-16,8,4,5,44.95
978,2024-12-14,8,3,5,44.31
862,2023-02-10,14,3,1,76.36
462,2024-10-07,6,3,1,3877.77
437,2023-10-24,6,6,2,3885.02
1317,2024-08-12,1,5,1,30234.88
1032,2023-09-22,9,3,1,344.69
525,2024-09-17,8,2,3,44.33
1295,2023-05-23,11,2,3,284.79
43,2024-07-03,8,7,2,44.0
713,2024-02-19,8,1,5,45.94
840,2024-01-03,13,8,5,959.92
361,2023-10-25,15,7,2,208.21
727,2024-05-16,13,2,2,1010.44
916,2023-08-04,8,2,3,44.38
303,2024-04-28,11,3,4,297.46
1027,2023-02-15,15,4,2,202.69
138,2023-10-31,6,3,2,3796.15
87,2024-02-20,9,1,3,341.56
1264,2023-10-04,11,4,1,302.6
1345,2023-11-18,4,2,1,8986.24
772,2024-11-01,11,6,3,308.73
161,2024-02-23,7,2,2,87.49
586,2024-09-18,10,5,2,499.25
994,2024-06-15,3,4,2,24213.96
1156,2023-05-20,3,7,2,25973.56
1344,2024-01-24,8,4,4,43.26
224,2023-01-27,4,6,1,9069.88
406,2023-10-30,9,4,2,352.87
241,2024-09-06,7,2,5,89.07
1039,2024-04-13,9,1,1,340.18
1188,2024-06-16,7,3,3,89.42
1044,2023-08-19,4,7,1,8619.43
213,2024-11-17,15,7,5,203.82
38,2024-11-16,8,3,5,45.34
666,2023-01-04,8,5,5,44.91
900,2024-07-30,8,4,3,47.08
654,2023-04-21,11,1,4,297.15
